Species_Abv,Common Species Name,Genus,Species ,Patient ID,Date Admitted,Month Admitted,Day Admitted,Year Admitted,Month-Year Admitted,Month Na Admitted,Quarter Admitted,Quarter-Year Admitted,Date Released,Duration of Care,Details of rescue,Disposition,Survive 
BAEA,,,,150-94-013,2/9/1994,2,9,1994,2-1994,Feb,1,1-1994,6/22/1998,1594,ELECTRIC SHOCK,TRANSFERRED OUT,
EASO,,,,151-94-014,2/19/1994,2,19,1994,2-1994,Feb,1,1-1994,11/26/1994,280,HBC,RELEASED,
GHOW,,,,152-94-015,2/20/1994,2,20,1994,2-1994,Feb,1,1-1994,11/20/1994,273,TRAPPED/ENTANGLED,RELEASED,
AMKE,,,,153-94-016,2/26/1994,2,26,1994,2-1994,Feb,1,1-1994,11/1/1999,2074,UNKNOWN,NR/EUTHANIZED,
GHOW,,,,154-94-017,3/23/1994,3,23,1994,3-1994,Mar,1,1-1994,2/1/1995,315,ORPHANED,RELEASED,
RTHA,,,,155-94-018,4/2/1994,4,2,1994,4-1994,Apr,2,2-1994,8/20/1995,505,GUNSHOT,RELEASED,
EASO,,,,156-94-019,4/2/1994,4,2,1994,4-1994,Apr,2,2-1994,4/5/1996,734,S COLLISION,RELEASED,
TUVU,,,,157-94-020,4/18/1994,4,18,1994,4-1994,Apr,2,2-1994,11/20/1994,216,S COLLISION,RELEASED,
GHOW,,,,158-94-021,4/19/1994,4,19,1994,4-1994,Apr,2,2-1994,2/1/1995,288,ORPHANED,RELEASED,
COHA,,,,159-94-022,4/19/1994,4,19,1994,4-1994,Apr,2,2-1994,4/19/1994,0,S COLLISION,EUTHANIZED,
BDOW,,,,160-94-023,4/19/1994,4,19,1994,4-1994,Apr,2,2-1994,10/23/1994,187,S COLLISION,RELEASED,
BDOW,,,,161-94-024,4/21/1994,4,21,1994,4-1994,Apr,2,2-1994,10/23/1994,185,ORPHANED,RELEASED,
RTHA,,,,162-94-025,5/4/1994,5,4,1994,5-1994,May,2,2-1994,2/1/1995,273,ORPHANED,RELEASED,
RSHA,,,,163-94-026,5/9/1994,5,9,1994,5-1994,May,2,2-1994,5/11/1994,2,ORPHANED,DIED,
EASO,,,,164-94-027,5/11/1994,5,11,1994,5-1994,May,2,2-1994,8/27/1994,108,ORPHANED,RELEASED,
RTHA,,,,165-94-028,5/17/1994,5,17,1994,5-1994,May,2,2-1994,2/1/1995,260,ORPHANED,RELEASED,
BAEA,,,,166-94-029,5/22/1994,5,22,1994,5-1994,May,2,2-1994,7/12/1994,51,COLLISION,EUTHANIZED,
RSHA,,,,167-94-030,5/25/1994,5,25,1994,5-1994,May,2,2-1994,11/26/1994,185,ORPHANED,RELEASED,
